rev_ID,drugName,condition,review,rating,date,usefulCount
39293,Contrave,Weight Loss,"""Contrave combines drugs that were used for alcohol, smoking, and opioid cessation. People lose weight on it because it also helps control over-eating. I have no doubt that most obesity is caused from sugar/carb addiction, which is just as powerful as any drug. I have been taking it for five days, and the good news is, it seems to go to work immediately. I feel hungry before I want food now. I really don&#039;t care to eat; it&#039;s just to fill my stomach. Since I have only been on it a few days, I don&#039;t know if I&#039;ve lost weight (I don&#039;t have a scale), but my clothes do feel a little looser, so maybe a pound or two. I&#039;m hoping that after a few months on this medication, I will develop healthier habits that I can continue without the aid of Contrave.""",9,42799,35
4907,Belviq,Weight Loss,"""This is a waste of money.  Did not curb my appetite nor did it make me feel full.""",1,41905,57
128575,Phentermine,Obesity,"""Started out yesterday at 242 and this morning I was only 239.6 not hungry at all""",10,42162,5
138742,Phentermine,Weight Loss,"""I absolutely LOVE this medicine. I lost 30 pounds on it last year and have lost 7 lbs on it in the last month (no exercise). It makes me feel good and gives me the energy to get things done. My libido had been down due to being on anti-depressants BUT this medicine has affected my libido in a GOOD way. It also helps tremendously because I have ADHD. It helps so much with that too. I love this medicine.

HOWEVER don&#039;t drink a lot when you take it. When I first started it last April I drank WAY too much and ended up in the hospital. The doctor was amazed that they hadn&#039;t told me not to drink on it but all is well now.""",9,40681,19
165109,Phentermine / topiramate,Obesity,"""I am 60 yo male starting weight 297lbs. Since January 1, 2014, I am now at 225lbs.
I no longer take blood pressure medicine, cholesterol medicine, and asthma inhaler. I also have MS. This is the best treatment for a new lease on life. I will continue on till I hit my goal weight of 195lbs. I have been a vegetarian for the past 28 years of my life.""",10,41788,48
4554,Belviq,Weight Loss,"""I&#039;ve been taking it for about 6 weeks. I&#039;ve lost 7 lbs so fast.  The fatigue is awful though.  Yes,  I&#039;m finally sleeping all night,  but I&#039;m still tired all day.  I&#039;m going to continue to take it as long as I keep seeing the weight drop. It&#039;s not going to make you drop 10 lbs a week. You also have to be in the right mindset to be ready to eat better also.""",7,42459,25
51992,Adipex-P,Weight Loss,"""I started taking Adipex 37.5 on May 29th, my first time taking this medication but I can&#039;t seem to lose any of my weight gained from my second pregnancy. I tried dieting, exercising and nothing happened. My current weight when I started was 248 and the first day taking this I felt like If I started moving I wouldn&#039;t be able to stop. The energy it provides was amazing. So far the only side effects I&#039;ve had was dry mouth. Starting to get a little constipated but I knew that was a possibility so I&#039;m prepared for it.  I weighed myself today and I&#039;m down to 241. I haven&#039;t changed my eating habits and I try to stay active for at least 30 minutes a day. I&#039;m hoping to lose between 50-70lbs.""",8,42158,37
38072,Adipex-P,Weight Loss,"""These are all  fake commants for sure""",1,42392,11
81626,Liraglutide,Weight Loss,"""Hi everyone! I started taking Saxenda 10 days and have already lost about 8 pounds. The first night I was very nauseous, but it hasn&#039;t been as bad. My appetite has become virtually non existent. I eat maybe a forth of what I used to eat, but I&#039;m loving the results already. I&#039;ve been on Metformin for almost 10 years and it&#039;s never done what this medication has. I&#039;m on my way to my goal weight!""",10,42923,12
145518,Qsymia,Weight Loss,"""I have been on Qsymia for about 20 days and I have lost 12lbs. (I&#039;m 5&#039;11, 200lbs to start, now at 188lbs). I have played sports my entire life and recently quit, so the fact that I am still losing weight without as much exercise is amazing (Waitressing and housecleaning in college keep me active). I normally wouldn&#039;t take the time to write a review like this but I am so surprised by the results. My appetite is gone. I don&#039;t even realize that I haven&#039;t eaten since breakfast until I find myself wanting a nap around 4pm; then I&#039;ll remember I forgot to grab lunch! This NEVER happened before Qsymia. Long story short, I would recommend this 100%. Feel free to ask any questions!""",10,42677,69
